Dataset,Nodes,Optimal,Algorithm,Cost,Error,Elapsed time,Memory usage
fl3795,3795,28723,chr,30644,0.06688020053615573,559.8428180217743,3065.094207763672
fnl4461,4461,182566,tat,256063,0.40257769792842035,259.4306695461273,4242.376361846924
fnl4461,4461,182566,chr,206208,0.12949837319106505,16777.664852142334,4242.3762855529785
rl5915,5915,565040,tat,858743,0.5197915191844824,520.4111461639404,8003.734169006348
rl5915,5915,565040,chr,616944,0.09185898343480114,2222.003766775131,8003.734092712402
rl5934,5934,554070,tat,846226,0.5272907755337772,552.9643175601959,8047.06229019165
rl5934,5934,554070,chr,,,,
rl11849,11849,920847,tat,,,,
rl11849,11849,920847,chr,,,,
usa13509,13509,19947008,tat,,,,
usa13509,13509,19947008,chr,,,,
brd14051,14051,468942,tat,,,,
brd14051,14051,468942,chr,,,,
d15112,15112,1564590,tat,,,,
d15112,15112,1564590,chr,,,,
d18512,18512,644650,tat,,,,
d18512,18512,644650,chr,,,,
